# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalPagesMapped,1773245570114000000,1773245630029000000,16
FilePageCacheLockFree.housekeeperTurnsDone,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1773245570114000000,1773245630029000000,0
DirectByteBufferAllocator.misses,1773245570114000000,1773245630029000000,4
FilePageCache.capacityInBytes,1773245570114000000,1773245630029000000,503316478
FilePageCacheLockFree.housekeeperTimeSpentMs,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalPagesAllocated,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalPagesWritten,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1773245570114000000,1773245630029000000,0
DirectByteBufferAllocator.reclaimed,1773245570114000000,1773245630029000000,0
StreamlinedBlobStorage.recordsAllocated,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1773245570114000000,1773245630029000000,0
FilePageCache.maxCacheSizeInBytes,1773245570114000000,1773245630029000000,246431744
FilePageCacheLockFree.totalClosedStoragesReclaimed,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalPagesRequested,1773245570114000000,1773245630029000000,0
FilePageCache.pageHits,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1773245570114000000,1773245630029000000,0
FilePageCache.maxRegisteredFiles,1773245570114000000,1773245630029000000,558
FilePageCache.pageLoads,1773245570114000000,1773245630029000000,4
FilePageCache.uncachedFileAccess,1773245570114000000,1773245630029000000,2
FilePageCacheLockFree.totalBytesRequested,1773245570114000000,1773245630029000000,0
StorageLockContext.competingThreads.90P,1773245570114000000,1773245630029000000,0
DirectByteBufferAllocator.disposed,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalPagesWriteMs,1773245570114000000,1773245630029000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1773245570114000000,1773245630029000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalBytesWritten,1773245570114000000,1773245630029000000,0
StorageLockContext.competingThreads.max,1773245570114000000,1773245630029000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1773245570114000000,1773245630029000000,14427
StreamlinedBlobStorage.recordsDeleted,1773245570114000000,1773245630029000000,0
MappedFileStorage.totalBytesMapped,1773245570114000000,1773245630029000000,202637312
FilePageCacheLockFree.totalPageAllocationsWaited,1773245570114000000,1773245630029000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1773245570114000000,1773245630029000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1773245570114000000,1773245630029000000,0
workspaceModel.mutableEntityStorage.instances.count,1773245570114000000,1773245630029000000,1
jps.storage.jps.conf.reader.load.component.ms,1773245570114000000,1773245630029000000,0
jps.facet.change.listener.before.change.events.ms,1773245570114000000,1773245630029000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1773245570114000000,1773245630029000000,0
jps.facet.change.listener.process.change.events.ms,1773245570114000000,1773245630029000000,0
workspaceModel.save.cache.to.file.ms,1773245570114000000,1773245630029000000,25
workspaceModel.mutableEntityStorage.entities.ms,1773245570114000000,1773245630029000000,0
jps.global.handle.before.change.events.ms,1773245570114000000,1773245630029000000,0
jps.global.initialize.library.bridges.ms,1773245570114000000,1773245630029000000,0
jps.module.iml.entities.serializer.load.entities.ms,1773245570114000000,1773245630029000000,0
jps.project.serializers.save.ms,1773245570114000000,1773245630029000000,0
workspaceModel.do.save.caches.ms,1773245570114000000,1773245630029000000,26
workspaceModel.moduleBridge.facet.initialization.ms,1773245570114000000,1773245630029000000,0
workspaceModel.load.cache.from.file.ms,1773245570114000000,1773245630029000000,0
workspaceModel.orphan.listener.update.ms,1773245570114000000,1773245630029000000,0
workspaceModel.moduleBridge.before.changed.ms,1773245570114000000,1773245630029000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1773245570114000000,1773245630029000000,0
jps.load.project.to.empty.storage.ms,1773245570114000000,1773245630029000000,0
jps.facet.change.listener.init.bridge.ms,1773245570114000000,1773245630029000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1773245570114000000,1773245630029000000,0
jps.app.storage.content.reader.load.component.ms,1773245570114000000,1773245630029000000,0
jps.global.get.library.by.name.ms,1773245570114000000,1773245630029000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1773245570114000000,1773245630029000000,0
jps.global.handle.changed.events.ms,1773245570114000000,1773245630029000000,0
jps.save.changed.project.entities.ms,1773245570114000000,1773245630029000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1773245570114000000,1773245630029000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1773245570114000000,1773245630029000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1773245570114000000,1773245630029000000,0
jps.global.get.libraries.ms,1773245570114000000,1773245630029000000,0
jps.save.global.entities.ms,1773245570114000000,1773245630029000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773245570114000000,1773245630029000000,0
jps.apply.loaded.storage.ms,1773245570114000000,1773245630029000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1773245570114000000,1773245630029000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1773245570114000000,1773245630029000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1773245570114000000,1773245630029000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1773245570114000000,1773245630029000000,0
jps.module.iml.entities.serializer.save.entities.ms,1773245570114000000,1773245630029000000,0
workspaceModel.global.updates.ms,1773245570114000000,1773245630029000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1773245570114000000,1773245630029000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1773245570114000000,1773245630029000000,0
jps.library.entities.serializer.save.entities.ms,1773245570114000000,1773245630029000000,0
workspaceModel.sync.entities.ms,1773245570114000000,1773245630029000000,0
jps.load.initial.state.ms,1773245570114000000,1773245630029000000,0
